article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
XXIII-D,Emergency Measures and Continuation Burden,justice/emergency/transition,core_06-06_rights_part_d.md,175,4.1; 6.3; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,accountability,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Timely Resolution,Article I-D; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md,complete
XXIV,Timely Retrospective Review and Restorative Alignment,justice/emergency/transition,core_06-06_rights_part_d.md,225,,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,participation; oversight; accountability; timeliness,,materiality,Avoidable Burden; Timely Resolution,Article XXIII; Article XXIV; Article XXIV-A; Article XXIV-B; Article XXIV-C; Chapter Five; core_00_preamble.md; core_05defs_accountability.md; core_05defs_oversight.md,missing_ch0_measurement_frame; weak_trace
XXIV-A,Retrospective Review and Disclosure,justice/emergency/transition,core_06-06_rights_part_d.md,249,4.2; 9.2; 13; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Avoidable Burden; Productive Capacity,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XXIV-B,Rights-Collision Procedure and Restorative Alignment,justice/emergency/transition,core_06-06_rights_part_d.md,284,6.3; 6.3.1; 13; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,,,Avoidable Burden; Productive Capacity; Timely Resolution,Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_10-10_misconduct.md,complete
XXIV-C,Timely Resolution and Anti-Delay Floor,justice/emergency/transition,core_06-06_rights_part_d.md,320,6.1.2; 6.3; 13.2; linked,3.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,material stake; materiality,Constitutional Efficiency; Avoidable Burden; Productive Capacity; Accessibility; Timely Resolution,Article XXIII-A; Article XXIII-B; Article XXIII-C; Chapter Eight; Chapter Eleven; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_08-08_standing_assessment.md; core_08-11_application_vignettes.md; core_11-11_forum.md,complete
XXV,Constitutional Evolution and Non-Entrenchment,justice/emergency/transition,core_06-06_rights_part_d.md,352,10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Productive Capacity,Article XXV; Article XXV-A; Article XXV-B; Chapter One; core_00_preamble.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md,manual_review
XXV-A,Non-Entrenchment and Revisability,justice/emergency/transition,core_06-06_rights_part_d.md,374,3; 11.1; linked,2; 3.1; 3.2; 6.2; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,,Productive Capacity,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md; core_05defs_participation.md,complete
XXV-B,Periodic Revalidation and Transparent Change,justice/emergency/transition,core_06-06_rights_part_d.md,403,4.2; 11.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Substantive Fairness; Educational Agency,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XXVI,"Transition Governance, Continuity, and Re-Baselining",justice/emergency/transition,core_06-06_rights_part_d.md,434,linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Trustworthiness; Timely Resolution,Article XXVI; core_00_preamble.md; core_01_a_values_principles.md; core_05defs_accountability.md,manual_review
XXVI-A,Phased Adoption and Rights-Floor Continuity,justice/emergency/transition,core_06-06_rights_part_d.md,458,4.1; 10.1; 11.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,accountability,continuity,,Avoidable Burden; Productive Capacity; Substantive Fairness; Accessibility; Timely Resolution,Article V; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; corpus_institutions.md,complete
XXVI-B,Transitional Authority Limits and Reauthorization,justice/emergency/transition,core_06-06_rights_part_d.md,487,4.1; 10.1; linked,3.1; 6.1; 6.3; 7; 8; 10; 10.2,oversight; accountability,,,Avoidable Burden; Timely Resolution,Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; corpus_institutions.md,complete
XXVI-C,"Failure Off-Ramps, Re-Baselining, and Traceability",justice/emergency/transition,core_06-06_rights_part_d.md,521,4.1; 10.1; 13; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,materiality,Avoidable Burden; Productive Capacity; Trustworthiness; Timely Resolution,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-08_standing_assessment.md; corpus_institutions.md,complete
XXVI-D,Non-Compliant Property and Systems; Voluntary Turnover Incentives,justice/emergency/transition,core_06-06_rights_part_d.md,556,4.1; 6.3; 11.1; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Substantive Fairness; Trustworthiness,Article III-A; Article X-B; Article XII; Article XII-B; Article XII-E; Article XXIII-B; Article XXIII-C; Article XXVI-A; Article XXVI-B; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md; core_06-06_rights_part_c.md](core_06-06_rights_part_c.md; core_08-08_standing_assessment.md; core_12-12_governance.md](core_12-12_governance.md; corpus_institutions.md,complete
