article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
XVIII,Standing and Participation Status,standing/interpretation,core_06-06_rights_part_c.md,1172,8.1,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Substantive Fairness; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Article III-A; Article V-A; Article XI; Article XIX; Article XVIII; Article XXIV-C; Chapter Eight; Chapter One; core_00_preamble.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_08-08_standing_assessment.md; core_09-09_standing_integration.md,manual_review
XVIII-A,Standing Distinction,standing/interpretation,core_06-06_rights_part_c.md,1217,5; 15; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,material stake,Productive Capacity; Trustworthiness,Article V-A; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md; core_08-08_standing_assessment.md; core_09-09_standing_integration.md,complete
XVIII-B,Contestability and Proportional Restriction Limits,standing/interpretation,core_06-06_rights_part_c.md,1258,5; 6.3; 10.1; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Accessibility; Truth / Epistemic Integrity; Trustworthiness; Market Structure / Contestability; Timely Resolution,Article III-A; Article V; Article XII-B; Article XIV-B; Article XV; Article XXIII-B; Article XXIII-C; Article XXIV-C; Chapter Eight; Chapter Eleven; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_08-08_standing_assessment.md; core_09-09_standing_integration.md; core_11-11_forum.md,complete
XVIII-C,"Good Standing, Responsibility, and Continuous Audit",standing/interpretation,core_06-06_rights_part_c.md,1308,5; 8.1; 10; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Productive Capacity; Substantive Fairness,Chapter Eight; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XVIII-D,"Movement, Migration, Refuge, and Non-Statelessness Routing",standing/interpretation,core_06-06_rights_part_c.md,1353,6.3; 9; linked,3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,accountability,,,Avoidable Burden; Productive Capacity; Market Structure / Contestability,Article XIX; Article XIX-D; Article XXIII-B; Article XXIII-C; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_09-09_standing_integration.md,complete
XIX,"Interoperability, Portability, Movement, Refuge, and Exit Integrity",standing/interpretation,core_06-06_rights_part_c.md,1375,8.20; 8.24,3.1; 5; 5.1; 6.1; 6.3; 7; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Privacy / Data Stewardship; Market Structure / Contestability; Timely Resolution,Article XIX; Article XIX-D; Article XVI; Article XVIII; Article XXIII-B; Article XXIV-C; Article XXVI; Chapter Five; Chapter One; core_00_preamble.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_09-09_standing_integration.md; corpus_institutions.md,manual_review
XIX-A,Portability Rights,standing/interpretation,core_06-06_rights_part_c.md,1416,5; 10.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 8,participation; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Market Structure / Contestability; Timely Resolution,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XIX-B,Reciprocal Interoperability Boundaries,standing/interpretation,core_06-06_rights_part_c.md,1444,5; 10.1; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,accountability,continuity,,Avoidable Burden; Dependency / Resource Flow,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XIX-C,Anti-Lock-In Rule,standing/interpretation,core_06-06_rights_part_c.md,1468,5; 10; linked,5; 5.1; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Dependency / Resource Flow; Market Structure / Contestability,Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XIX-D,"Movement, Migration, Refuge, and Non-Statelessness",standing/interpretation,core_06-06_rights_part_c.md,1497,4.1; 5; 5.1; 6.3.1; 8.1.1; 8.24; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Substantive Fairness; Market Structure / Contestability; Timely Resolution,Article V-A; Article V-B; Article XI; Article XVIII; Article XXIII-B; Article XXIII-C; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_09-09_standing_integration.md; corpus_institutions.md,complete
XX,Comprehensibility and Complexity Stewardship,standing/interpretation,core_06-06_rights_part_c.md,1570,3.4; 6.1.2; 6.1.3; 9.2; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Article XX; Article XX-A; Article XX-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,manual_review
XX-A,Proportional Comprehensibility Right,standing/interpretation,core_06-06_rights_part_c.md,1619,3.4; 4.2; 5; 6.1.3; 9.2; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability,,material impact,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XX-B,Complexity Audit and Modularity Requirements,standing/interpretation,core_06-06_rights_part_c.md,1648,4.1; 15; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight,continuity,,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Market Structure / Contestability,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XXI,Root Cause Analysis and Adaptive Response,standing/interpretation,core_06-06_rights_part_c.md,1683,4.1; 4.2; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Privacy / Data Stewardship; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Article XII-B; Article XV; Article XV-A; Article XVI; Article XXI; Article XXI-B; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,manual_review
XXI-A,Diagnostic Rigor and Causal Attribution,standing/interpretation,core_06-06_rights_part_c.md,1728,4.1; 4.2; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,oversight; accountability,,,Safety / Harm / Risk; Truth / Epistemic Integrity; Market Structure / Contestability,Article XII-B; Article XIV; Article XV; Article XV-A; Article XXI; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XXI-B,"Auditability, Challenge, and Reversibility Preference",standing/interpretation,core_06-06_rights_part_c.md,1758,4.1; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,oversight,continuity,,Safety / Harm / Risk; Resilience / Systemic Risk; Incentive Alignment / Proxy Integrity; Timely Resolution,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XXII,"Constitutional Interpretation, Review, and Anti-Capture Safeguards",standing/interpretation,core_06-06_rights_part_c.md,1789,4.2; 6.3; 10; 15; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Article XII-B; Article XXII; Article XXII-D; Article XXIII; Article XXV-A; Chapter Eleven; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05o_oversight_definitions.md; core_06-06_rights_part_d.md; core_11-11_forum.md; corpus_institutions.md,manual_review
XXII-A,Bounded Interpretive Mandate,standing/interpretation,core_06-06_rights_part_c.md,1833,6.3; 7; 15; linked,6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,,,Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Chapter One; core_00_preamble.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05i_integrative_definitions.md,complete
XXII-B,"Composition, Rotation, and Conflict Controls",standing/interpretation,core_06-06_rights_part_c.md,1867,6.3; 10; 15; linked,3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,Chapter Eight; Chapter Eleven; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_08-08_standing_assessment.md; core_10-10_misconduct.md; core_11-11_forum.md; corpus_institutions.md,complete
XXII-C,"Public Reasons, Challenge Rights, and External Review",standing/interpretation,core_06-06_rights_part_c.md,1900,4.2; 6.3; 15; linked,3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Chapter Eleven; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_11-11_forum.md,complete
XXII-D,Removal for Cause and Non-Entrenchment,standing/interpretation,core_06-06_rights_part_c.md,1941,6.3; 10; 15; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Incentive Alignment / Proxy Integrity,Article XXV-A; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_06-06_rights_part_b.md](core_06-06_rights_part_b.md; core_06-06_rights_part_d.md; core_06-06_rights_part_d.md](core_06-06_rights_part_d.md,complete
XXIII,"Conflict Resolution, Escalation, and Emergency Proportionality",justice/emergency/transition,core_06-06_rights_part_d.md,32,2; 3.1; 5; 6; 10; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Article XII-B; Article XXIII; Article XXIV-C; Chapter Eleven; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05i_integrative_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_06-06_rights_part_c.md; core_11-11_forum.md,manual_review
XXIII-A,Justice Objective and Scope,justice/emergency/transition,core_06-06_rights_part_d.md,70,4.1; 6.3; 15; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,,,Safety / Harm / Risk; Productive Capacity,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md,complete
XXIII-B,"Non-Trivial Restriction, Restitution, and Restorative-Accountability Constraints",justice/emergency/transition,core_06-06_rights_part_d.md,98,4.1; 6.3; 10.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,accountability,continuity,,Safety / Harm / Risk; Avoidable Burden,Article VII-E; Article XXIII-C; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_10-10_misconduct.md,complete
XXIII-C,Least-Restrictive and Time-Bounded Rule,justice/emergency/transition,core_06-06_rights_part_d.md,142,6.3; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,accountability,continuity,,Avoidable Burden; Resilience / Systemic Risk; Substantive Fairness; Timely Resolution,Article V; Article XXIII-B; Chapter One; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md,complete
XXIII-D,Emergency Measures and Continuation Burden,justice/emergency/transition,core_06-06_rights_part_d.md,182,4.1; 6.3; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Article I-D; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md,complete
XXIV,Timely Retrospective Review and Restorative Alignment,justice/emergency/transition,core_06-06_rights_part_d.md,232,3.1; 6; 8; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Privacy / Data Stewardship; Market Structure / Contestability; Timely Resolution,Article XXIII; Article XXIV; Article XXIV-A; Article XXIV-B; Article XXIV-C; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md,manual_review
XXIV-A,Retrospective Review and Disclosure,justice/emergency/transition,core_06-06_rights_part_d.md,264,4.2; 9.2; 15; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md,complete
XXIV-B,Rights-Collision Procedure and Restorative Alignment,justice/emergency/transition,core_06-06_rights_part_d.md,299,6.3; 6.3.1; 15; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Market Structure / Contestability; Timely Resolution,Article X-A; Chapter Five; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_10-10_misconduct.md,complete
XXIV-C,Timely Resolution and Anti-Delay Floor,justice/emergency/transition,core_06-06_rights_part_d.md,335,6.1.3; 6.3; 12.2; linked,3.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability; timeliness,continuity,material stake; materiality,Safety / Harm / Risk; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Timely Resolution,Article XXIII-A; Article XXIII-B; Article XXIII-C; Chapter Eight; Chapter Eleven; Chapter One; core_00_preamble.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_08-08_standing_assessment.md; core_08-11_application_vignettes.md; core_11-11_forum.md,complete
XXV,Constitutional Evolution and Non-Entrenchment,justice/emergency/transition,core_06-06_rights_part_d.md,368,10; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity,Article XXV; Article XXV-A; Article XXV-B; Chapter One; core_00_preamble.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md,manual_review
XXV-A,Non-Entrenchment and Revisability,justice/emergency/transition,core_06-06_rights_part_d.md,388,3; linked,2; 3.1; 3.2; 6.2; 7; 8; 10; 10.2,participation; oversight; accountability,,,Wellbeing; Incentive Alignment / Proxy Integrity,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XXV-B,Periodic Revalidation and Transparent Change,justice/emergency/transition,core_06-06_rights_part_d.md,417,4.2; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,oversight; accountability,,,Substantive Fairness; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XXVI,"Transition Governance, Continuity, and Re-Baselining",justice/emergency/transition,core_06-06_rights_part_d.md,448,linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Article XXVI; core_00_preamble.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md,manual_review
XXVI-A,Phased Adoption and Rights-Floor Continuity,justice/emergency/transition,core_06-06_rights_part_d.md,471,4.1; 10.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Substantive Fairness; Accessibility; Truth / Epistemic Integrity; Timely Resolution,Article V; Article XXVI; Chapter Eight; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-08_standing_assessment.md; corpus_institutions.md,complete
XXVI-B,Transitional Authority Limits and Reauthorization,justice/emergency/transition,core_06-06_rights_part_d.md,506,4.1; 10.1; linked,3.1; 6.1; 6.3; 7; 8; 10; 10.2,oversight; accountability,,,Safety / Harm / Risk; Avoidable Burden; Timely Resolution,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; corpus_institutions.md,complete
XXVI-C,"Failure Off-Ramps, Re-Baselining, and Traceability",justice/emergency/transition,core_06-06_rights_part_d.md,540,4.1; 10.1; 15; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,materiality,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-08_standing_assessment.md; corpus_institutions.md,complete
XXVI-D,Non-Compliant Property and Systems; Voluntary Turnover Incentives,justice/emergency/transition,core_06-06_rights_part_d.md,576,4.1; 6.3; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Substantive Fairness; Trustworthiness,Article III-A; Article X-B; Article XII; Article XII-B; Article XII-E; Article XXIII-B; Article XXIII-C; Article XXVI-A; Article XXVI-B; Chapter Eight; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md; core_06-06_rights_part_c.md](core_06-06_rights_part_c.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-08_standing_assessment.md; core_12-12_governance.md](core_12-12_governance.md; corpus_institutions.md,complete
