article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,ch5_refs,odef_refs,owner_refs,status
XV-B,Distributed Oversight and Anti-Monopoly Review,systems/trust/audit,core_06_rights_part_c.md,875,3.2; 11; linked,3.2; 6.2; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Contestability; Oversight; System Capture,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_oversight_leg.md; core_05_band_accountability.md; core_05_band_continuity.md; core_08_a_system_alignment_certification_evaluation.md,complete
XV-C,Verification Accessibility,systems/trust/audit,core_06_rights_part_c.md,899,5; 6.1; 16; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Auditability; Contestability; Proportionality,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
XVI,"System Lifecycle, Environments, and Reversibility",systems/trust/audit,core_06_rights_part_c.md,929,3.1; 5; 6; 9; 15; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability; Timely Resolution,Contestability; Dependency; Epistemic Integrity; Materiality; Reversibility; Risk; Safety (Constraint),,Article XII-F; Article XV; Article XVI; Article XVII; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; corpus_systems.md,complete
XVI-A,Lifecycle Governance and Environment Separation,systems/trust/audit,core_06_rights_part_c.md,976,3.1; 16; linked,3.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Ecological Footprint / Environmental Preconditions; Privacy / Data Stewardship,Accountability; Classification-Scaled Governance; Risk,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XVI-B,Progressive Deployment and Reversibility,systems/trust/audit,core_06_rights_part_c.md,1008,3.1; 6.1; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,accountability,continuity,material impact,Safety / Harm / Risk; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity,Proportionality; Reversibility; Risk,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XVI-C,Misclassification and Evasion Consequences,systems/trust/audit,core_06_rights_part_c.md,1038,3.2; 16; linked,3.2; 6.1; 6.1.5; 6.2; 6.3; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,,,Productive Capacity; Truth / Epistemic Integrity; Privacy / Data Stewardship,Accountability; Classification-Scaled Governance; Truth (Constitutional Constraint),,Article XIV; Article XV-A; Article XVIII-A; Article XXIII-A; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XVII,"Sandboxed Innovation, Experimentation, and Creative Freedom",systems/trust/audit,core_06_rights_part_c.md,1063,3.1; 5; 6; 12; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Privacy / Data Stewardship; Incentive Alignment / Proxy Integrity; Timely Resolution,,,Article XIV; Article XV; Article XVI; Article XVII; Article XVII-E; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; corpus_systems.md,complete
XVII-A,Sandboxed Scope,systems/trust/audit,core_06_rights_part_c.md,1093,3.1; 5; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 10; 10.1,oversight,continuity,material impact,Safety / Harm / Risk; Resilience / Systemic Risk,Classification-Scaled Governance; Material Impact; Risk,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XVII-B,"Containment, Disclosure, and Opt-In",systems/trust/audit,core_06_rights_part_c.md,1123,3.1; 5; 6.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation,continuity,material risk,Safety / Harm / Risk; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Truth / Epistemic Integrity,Consent; Reversibility; Risk,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_participation.md,complete
XVII-C,Transition to Higher-Obligation Regimes,systems/trust/audit,core_06_rights_part_c.md,1154,3.1; 16; linked,3.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.1; 11; 12; 13,oversight,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Privacy / Data Stewardship; Timely Resolution,Classification-Scaled Governance; Dependency; Reversibility,,Article XVI-A; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XVII-D,"Innovation Reward, Disclosure, and Anti-Enclosure",systems/trust/audit,core_06_rights_part_c.md,1180,3.2; 5; 11; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Accessibility; Educational Agency; Truth / Epistemic Integrity; Privacy / Data Stewardship; Timely Resolution,Innovation Reward and Anti-Enclosure; Proportionality; Systemic Lock-In,,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; corpus_systems.md,complete
XVII-E,"Scientific Publication, Review, and Replication Integrity",systems/trust/audit,core_06_rights_part_c.md,1258,3.2; 6.2; 16; linked,3.1; 3.2; 4; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight,,material impact,Safety / Harm / Risk; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Privacy / Data Stewardship; Trustworthiness; Market Structure / Contestability,Auditability; Epistemic Integrity; Material Impact; Truth (Constitutional Constraint),,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_oversight.md,complete
XVIII,Standing and Participation Status,standing/interpretation,core_06_rights_part_c.md,1309,5; 8; 8.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Substantive Fairness; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Competency Bar; Contestability; Dignity and Equal Moral Standing; Material Impact; Participant Standing; Redress and Remediation; Stakeholder; Standing Effect; Standing Lock; System Alignment Certification,,Article III-A; Article V-A; Article XI; Article XIX; Article XVIII; Article XXIV-C; Chapter Eleven; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; core_09_standing_assessment.md; core_10_standing_integration.md; core_13_governance.md,complete
XVIII-A,Standing Distinction,standing/interpretation,core_06_rights_part_c.md,1364,4; 5; 16; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,,material stake,Survival-floor access; Productive Capacity; Incentive Alignment / Proxy Integrity,"**Def.P1** *Animal Life, Sentient Life, and Sentience Status*; Competency Bar; Competency Clearance; Dignity and Equal Moral Standing; Participant Standing; Stakeholder; Stakeholder Weight; Standing Lock; Violation Nature",,Article V-A; Article V-E; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md; core_09_standing_assessment.md; core_10_standing_integration.md; core_12_forum.md,complete
XVIII-B,Contestability and Proportional Restriction Limits,standing/interpretation,core_06_rights_part_c.md,1413,5; 6.1; 6.1.5; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Accessibility; Truth / Epistemic Integrity; Trustworthiness; Market Structure / Contestability; Timely Resolution,Auditability; Competency Bar; Competency Clearance; Contestability; Contribution Nature; Necessity; Procedural Fairness; Proportionality; Redress and Remediation; Standing Lock; System Alignment Certification; Violation Nature; verified violation finding,,Article III-A; Article V; Article XII-B; Article XIV-B; Article XV; Article XXIII-B; Article XXIII-C; Article XXIV-C; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; core_09_standing_assessment.md; core_10_standing_integration.md; core_12_forum.md,complete
XVIII-C,"Pathway Eligibility, Responsibility, and Continuous Audit",standing/interpretation,core_06_rights_part_c.md,1477,4; 11; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,continuity,,Productive Capacity; Substantive Fairness,Accountability; Collective Accountability Failure; Competency Bar; Competency Clearance; Foundational Constitutional Choice; Necessity; Participant Standing; Procedural Fairness; Proportionality; Protected Characteristics; Standing Lock; Trust,,Chapter Eight; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md; core_10_standing_integration.md; core_13_governance.md,complete
XVIII-D,"Movement, Migration, Refuge, and Non-Statelessness Routing",standing/interpretation,core_06_rights_part_c.md,1530,6.1.5; 9; linked,3.1; 4; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,,,Avoidable Burden; Productive Capacity; Market Structure / Contestability,Non-Statelessness,,Article XIX; Article XIX-D; Article XXIII-B; Article XXIII-C; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_participation.md; core_10_standing_integration.md,complete
XIX,"Interoperability, Portability, Movement, Refuge, and Exit Integrity",standing/interpretation,core_06_rights_part_c.md,1552,5; 5.1; 14; linked,3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Privacy / Data Stewardship; Market Structure / Contestability; Timely Resolution,"*Systemic Lock-In*; Chapter Five *Governance Architecture, Oversight, Dependency, Decentralization, Concentration, Market Structure, and Exit-Path Integrity*; Chapter Five *Movement, Refuge, Non-Statelessness, and Exit Integrity*; Dependency; Material Impact; Meaningful Agency; Movement and Relocation; Necessity; Non-Statelessness; Proportionality; Refuge from Non-Compliance; Sentience Non-Exclusion; Systemic Lock-In",,Article XIX; Article XIX-D; Article XVI; Article XVIII; Article XXIII-B; Article XXIV-C; Article XXVI; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; core_10_standing_integration.md; corpus_institutions.md,complete
XIX-A,Portability Rights,standing/interpretation,core_06_rights_part_c.md,1606,5; 6.1; linked,3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8,participation; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Market Structure / Contestability; Timely Resolution,Meaningful Agency; Proportionality; Systemic Lock-In,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
XIX-B,Reciprocal Interoperability Boundaries,standing/interpretation,core_06_rights_part_c.md,1634,5; 6.1; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,accountability,continuity,,Avoidable Burden; Dependency / Resource Flow,Dependency; Feasibility; Proportionality,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_08_a_system_alignment_certification_evaluation.md,complete
XIX-C,Anti-Lock-In Rule,standing/interpretation,core_06_rights_part_c.md,1658,5; 11; linked,5; 5.1; 9; 9.2; 10; 10.1; 11; 12; 13,participation,continuity,,Productive Capacity; Dependency / Resource Flow; Market Structure / Contestability,Dependency; Meaningful Agency; Systemic Lock-In,,Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
XIX-D,"Movement, Migration, Refuge, and Non-Statelessness",standing/interpretation,core_06_rights_part_c.md,1687,3.1; 5; 5.1; 6.1.3; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Market Structure / Contestability; Timely Resolution,"Chapter Five *Movement, Refuge, Non-Statelessness, and Exit Integrity*; Feasibility; Movement and Relocation; Necessity; Non-Statelessness; Occupancy Continuity; Procedural Fairness; Proportionality; Protected Characteristics; Redress and Remediation; Refuge from Non-Compliance; Sentience Non-Exclusion; Systemic Lock-In",,Article I-A; Article V-A; Article V-B; Article XI; Article XVIII; Article XXIII-B; Article XXIII-C; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; core_10_standing_integration.md; corpus_institutions.md,complete
XX,Comprehensibility and Complexity Stewardship,standing/interpretation,core_06_rights_part_c.md,1782,3.4; 6.3; 9.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Auditability; Avoidable Burden; Constitutional Efficiency; Contestability; Materiality; Meaningful Agency; Productive Capacity; Safety (Constraint); Truth (Constitutional Constraint),,Article XX; Article XX-A; Article XX-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; corpus_systems.md,complete
XX-A,Proportional Comprehensibility Right,standing/interpretation,core_06_rights_part_c.md,1834,3.2; 3.4; 5; 6.3; 9.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability,,material impact,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Timely Resolution,Feasibility; Material Impact; Transparency,,Article XII-B; Article XX-A; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XX-B,Complexity Audit and Modularity Requirements,standing/interpretation,core_06_rights_part_c.md,1867,3.1; 16; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight,continuity,,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Market Structure / Contestability,Auditability; Dependency; System Boundary Integrity,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XXI,Root Cause Analysis and Adaptive Response,standing/interpretation,core_06_rights_part_c.md,1902,3.1; 3.2; 6.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Privacy / Data Stewardship; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Anti-Capture; Auditability; Contestability; Materiality; Reversibility; Risk; System Capture,,Article XII-B; Article XV; Article XV-A; Article XVI; Article XXI; Article XXI-B; Chapter Eight; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XXI-A,Diagnostic Rigor and Causal Attribution,standing/interpretation,core_06_rights_part_c.md,1948,3.1; 3.2; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.1,oversight; accountability,,,Safety / Harm / Risk; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Auditability; Foreseeability,,Article XII-B; Article XIV; Article XV; Article XV-A; Article XXI; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_05_apex_accountability_leg.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XXI-B,"Auditability, Challenge, and Reversibility Preference",standing/interpretation,core_06_rights_part_c.md,1978,3.1; 6.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.1,oversight,continuity,,Safety / Harm / Risk; Resilience / Systemic Risk; Incentive Alignment / Proxy Integrity; Timely Resolution,Auditability; Reversibility; Risk,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md,complete
XXII,"Constitutional Interpretation, Review, and Anti-Capture Safeguards",standing/interpretation,core_06_rights_part_c.md,2009,3.2; 6.1.5; 11; 16; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,"Anti-Capture; Auditability; Authority Stack and Internal Hierarchy; Contestability; Forum Family, Constitutional; System Capture",,Article XII-B; Article XXII; Article XXII-D; Article XXIII; Article XXV-A; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_oversight.md; core_06_rights_part_d.md; core_12_forum.md; corpus_institutions.md,complete
XXII-A,Bounded Interpretive Mandate,standing/interpretation,core_06_rights_part_c.md,2055,6.1.5; 7; 11; 16; linked,6.1; 6.1.5; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,,,Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,"Authority Stack and Internal Hierarchy; Contestability; Forum Family, Constitutional",,Chapter One; core_00_preamble.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_integrative.md,complete
XXII-B,"Composition, Rotation, and Conflict Controls",standing/interpretation,core_06_rights_part_c.md,2089,6.1.5; 11; 16; linked,3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,"Forum Family, Constitutional; Procedural Fairness; System Capture",,Chapter Eleven; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; core_10_standing_integration.md; core_11_b_misconduct_pattern_applications.md; core_12_forum.md; corpus_institutions.md,complete
XXII-C,"Public Reasons, Challenge Rights, and External Review",standing/interpretation,core_06_rights_part_c.md,2122,3.2; 6.1.5; 16; linked,3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Accountability; Auditability; Contestability,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_oversight.md; core_12_forum.md,complete
XXII-D,Removal for Cause and Non-Entrenchment,standing/interpretation,core_06_rights_part_c.md,2163,6.1.5; 11; 16; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Incentive Alignment / Proxy Integrity,Accountability; Procedural Fairness; System Capture,,Article XXV-A; Chapter One; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_continuity.md; core_05_band_participation.md; core_06_rights_part_b.md](core_06_rights_part_b.md; core_06_rights_part_d.md; core_06_rights_part_d.md](core_06_rights_part_d.md,complete
XXIII,"Conflict Resolution, Escalation, and Emergency Proportionality",justice/emergency/transition,core_06_rights_part_d.md,68,2; 3.1; 5; 6; 11; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,"*Accountability, Contestability, Adjudication and Dispute Resolution, Collective Accountability Failure, and Force Majeure*; *Adjudication and Dispute Resolution*; *Timely Resolution*; Adjudication and Dispute Resolution; Contestability; Procedural Fairness; Transparency",,Article XII-B; Article XXIII; Article XXIV-C; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_oversight.md; core_05_band_participation.md; core_06_rights_part_c.md; core_12_forum.md,complete
XXIII-A,Justice Objective and Scope,justice/emergency/transition,core_06_rights_part_d.md,107,2.3; 3.1; 6.1.5; 16; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity,Accountability; Adjudication and Dispute Resolution; Cruelty; Redress and Remediation,,Article XXIII-B; Article XXIII-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_10_standing_integration.md,complete
XXIII-B,"Non-Trivial Restriction, Restitution, and Restorative-Accountability Constraints",justice/emergency/transition,core_06_rights_part_d.md,138,3.1; 6.1; 6.1.5; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,accountability,continuity,,Safety / Harm / Risk; Avoidable Burden,Accountability; Redress and Remediation; Safety (Constraint),,Article VII-E; Article XXIII-C; Chapter Eleven; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_continuity.md; core_11_a_misconduct_designation.md,complete
XXIII-C,Least-Restrictive and Time-Bounded Rule,justice/emergency/transition,core_06_rights_part_d.md,182,6.1; 6.1.5; 7; linked,2; 3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8,accountability,continuity,,Avoidable Burden; Resilience / Systemic Risk; Substantive Fairness; Timely Resolution,Necessity; Proportionality; Reversibility,,Article V; Article XXIII-B; Chapter Eleven; Chapter One; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md,complete
XXIII-D,Emergency Measures and Continuation Burden,justice/emergency/transition,core_06_rights_part_d.md,223,3.1; 6.1; 6.1.5; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability; timeliness,continuity,materiality,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Constitutional Emergency and Contingency; Contestability; Emergency and Contingency; Necessity; Proportionality; Stakeholder Emergency and Contingency; Timely Resolution,,Article I-D; Article XXIII-D; Article XXIV-C; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_12_forum.md,complete
